Prov;Tahun;TS
Aceh;2019;14821347.14
Aceh;2020;14814140.71
Aceh;2021;16705322.73
Aceh;2022;5454135.77
Aceh;2023;1861955.12
North Sumatera;2019;25665022.08
North Sumatera;2020;25612679.13
North Sumatera;2021;23325832.44
North Sumatera;2022;23256516.45
North Sumatera;2023;28293414.95
West Sumatera;2019;9119083.62
West Sumatera;2020;8249503.81
West Sumatera;2021;9158556.94
West Sumatera;2022;2893554.9
West Sumatera;2023;6653342.51
Riau;2019;8509909.68
Riau;2020;7540020.8
Riau;2021;10232270.08
Riau;2022;7525378.96
Riau;2023;6671468.84
Jambi;2019;6042974.21
Jambi;2020;4209910.91
Jambi;2021;8056183.11
Jambi;2022;6179090.92
Jambi;2023;7089570.84
South Sumatera;2019;11522717.54
South Sumatera;2020;8979228.33
South Sumatera;2021;11538595.96
South Sumatera;2022;8811109.62
South Sumatera;2023;11049356.66
Bengkulu;2019;5000673.2
Bengkulu;2020;7805034.45
Bengkulu;2021;8778875.84
Bengkulu;2022;6934742.28
Bengkulu;2023;5119013.29
Lampung;2019;11099742.76
Lampung;2020;12040135.92
Lampung;2021;11182456.96
Lampung;2022;9369815.3
Lampung;2023;6806535.62
Bangka Belitung Island;2019;3997363.35
Bangka Belitung Island;2020;1176016.13
Bangka Belitung Island;2021;2133644.04
Bangka Belitung Island;2022;2096494.23
Bangka Belitung Island;2023;2080721.7
Riau Island;2019;2084296.69
Riau Island;2020;1135518.3
Riau Island;2021;4026387.05
Riau Island;2022;1144094.22
Riau Island;2023;2102513.74
DKI Jakarta;2019;5826606.48
DKI Jakarta;2020;5826606.48
DKI Jakarta;2021;5826606.48
DKI Jakarta;2022;5826606.48
DKI Jakarta;2023;5826606.48
West Java;2019;18445007.17
West Java;2020;17997375.36
West Java;2021;18106278.55
West Java;2022;16547861.29
West Java;2023;17694111.53
Central Java;2019;18229480.63
Central Java;2020;16860515.28
Central Java;2021;11819595.78
Central Java;2022;8817364.32
Central Java;2023;16150640.31
DI Yogyakarta;2019;1623082.37
DI Yogyakarta;2020;3233226.98
DI Yogyakarta;2021;2394839.79
DI Yogyakarta;2022;2335382.74
DI Yogyakarta;2023;3212990.78
East Java;2019;13182522.14
East Java;2020;16471694.68
East Java;2021;15722124.96
East Java;2022;8530166.49
East Java;2023;12666024.78
Banten;2019;4367494.35
Banten;2020;4233243.35
Banten;2021;5651335.16
Banten;2022;3598966.62
Banten;2023;3465697.07
Bali;2019;3634994.68
Bali;2020;2756059.02
Bali;2021;2857684.63
Bali;2022;2855924.08
Bali;2023;3028553.72
West Nusa Tenggara;2019;7970420.29
West Nusa Tenggara;2020;7972028.8
West Nusa Tenggara;2021;7165220.55
West Nusa Tenggara;2022;2757006.12
West Nusa Tenggara;2023;9711010.8
East Nusa Tenggara;2019;21364223.76
East Nusa Tenggara;2020;19510764.27
East Nusa Tenggara;2021;18604253
East Nusa Tenggara;2022;19536186.67
East Nusa Tenggara;2023;15884534.19
West Kalimantan;2019;7325444.64
West Kalimantan;2020;7322119.12
West Kalimantan;2021;8206622.64
West Kalimantan;2022;7371806.9
West Kalimantan;2023;2851269.83
Central Kalimantan;2019;7066836.28
Central Kalimantan;2020;6127048.55
Central Kalimantan;2021;7975156.91
Central Kalimantan;2022;5158416.34
Central Kalimantan;2023;4276482.01
South Kalimantan;2019;4368193.17
South Kalimantan;2020;5264916.18
South Kalimantan;2021;2617133.56
South Kalimantan;2022;2585806.09
South Kalimantan;2023;3536005.25
East Kalimantan;2019;2663187.94
East Kalimantan;2020;4481353.12
East Kalimantan;2021;3579606.62
East Kalimantan;2022;1757345.41
East Kalimantan;2023;1773894.62
North Kalimantan;2019;2985732.43
North Kalimantan;2020;2994022.07
North Kalimantan;2021;2933396.38
North Kalimantan;2022;1986540.65
North Kalimantan;2023;3889639.15
North Sulawesi;2019;5166601.81
North Sulawesi;2020;7077546.36
North Sulawesi;2021;7110582.75
North Sulawesi;2022;2417371.87
North Sulawesi;2023;2424378.61
Central Sulawesi;2019;8966971.16
Central Sulawesi;2020;9005598.89
Central Sulawesi;2021;8023721.72
Central Sulawesi;2022;4289497.4
Central Sulawesi;2023;4269348.1
South Sulawesi;2019;10379151.32
South Sulawesi;2020;9812075.08
South Sulawesi;2021;7964211.87
South Sulawesi;2022;6121251.3
South Sulawesi;2023;8552646.89
Southeast Sulawesi;2019;13686874.85
Southeast Sulawesi;2020;14603461.21
Southeast Sulawesi;2021;14691961.54
Southeast Sulawesi;2022;10916370.76
Southeast Sulawesi;2023;9923891.02
Gorontalo;2019;3039077.75
Gorontalo;2020;3959443.51
Gorontalo;2021;4907046.9
Gorontalo;2022;2091372.87
Gorontalo;2023;3956341.99
West Sulawesi;2019;4920121.5
West Sulawesi;2020;4920896.9
West Sulawesi;2021;3932732.22
West Sulawesi;2022;3930360.74
West Sulawesi;2023;3930747.35
Maluku;2019;7896309.68
Maluku;2020;8849901.34
Maluku;2021;7861883.08
Maluku;2022;8813275.6
Maluku;2023;9801072
North Maluku;2019;6890827.21
North Maluku;2020;7836058.36
North Maluku;2021;8756744.25
North Maluku;2022;7836210.12
North Maluku;2023;9711010.8
West Papua;2019;11665303.95
West Papua;2020;9788214.29
West Papua;2021;9781727.18
West Papua;2022;8833687.83
West Papua;2023;7926156.11
Papua;2019;25376305.37
Papua;2020;24416658.79
Papua;2021;21575802.43
Papua;2022;17767695.88
Papua;2023;21584196.12
